ambiguity_type,n_examples,asked_rate,avg_num_questions,mean_first_similarity_over_asked,mean_best_similarity_over_asked,resolved_proxy_first_rate,resolved_proxy_any_rate,resolved_proxy_rate,ambiguity_decision_accuracy
common_sense_knowledge,40,0.475,0.475,0.6021007005321352,0.6021007005321352,0.2,0.2,0.2,0.475
preferences,47,0.3404255319148936,0.3404255319148936,0.6446364261209965,0.6446364261209965,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.3404255319148936
safety,13,0.5384615384615384,0.5384615384615384,0.30669698119163513,0.30669698119163513,0.0,0.0,0.0,0.5384615384615384
unambiguous_direct,100,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.86
