token_id,token,before,after,delta
2500,another,7.38912567612715e-05,0.26236701011657715,0.26229313015937805
279,the,0.11427288502454758,0.14949220418930054,0.03521931916475296
264,a,0.019857648760080338,0.0906716138124466,0.07081396877765656
420,this,0.007776367478072643,0.08517809212207794,0.07740172743797302
1578,again,9.17660327104386e-06,0.0455925427377224,0.045583367347717285
1403,two,0.0008196230628527701,0.025977851822972298,0.0251582283526659
459,an,0.0016300150891765952,0.024403931573033333,0.02277391590178013
1457,now,3.9551141526317224e-05,0.020231571048498154,0.020192019641399384
433,it,0.04203864932060242,0.01677256077528,-0.025266088545322418
832,one,0.02549772895872593,0.015756363049149513,-0.009741365909576416
