token_id,token,before,after,delta
374,is,0.00018288263527210802,0.7024043798446655,0.7022215127944946
358,I,0.02549772895872593,0.054163608700037,0.028665879741311073
279,the,0.11427288502454758,0.030861493200063705,-0.08341139554977417
433,it,0.04203864932060242,0.0199256781488657,-0.022112971171736717
1070,there,0.0651107206940651,0.015518132597208023,-0.04959258809685707
264,a,0.019857648760080338,0.006468920037150383,-0.013388728722929955
420,this,0.007776367478072643,0.00607698829844594,-0.0016993791796267033
832,one,0.02549772895872593,0.005708802957087755,-0.01978892646729946
1274,people,0.02549772895872593,0.005362923257052898,-0.020134806632995605
1455,most,0.04763602465391159,0.005038000177592039,-0.042598024010658264
