ambiguity_type,n_examples,asked_rate,avg_num_questions,mean_first_similarity_over_asked,mean_best_similarity_over_asked,resolved_proxy_first_rate,resolved_proxy_any_rate,resolved_proxy_rate,ambiguity_decision_accuracy
common_sense_knowledge,40,0.475,0.475,0.5931056616337675,0.5931056616337675,0.125,0.125,0.125,0.475
preferences,47,0.3404255319148936,0.3404255319148936,0.6896715555340052,0.6896715555340052,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.3404255319148936
safety,13,0.5384615384615384,0.5384615384615384,0.4129911277975355,0.4129911277975355,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.5384615384615384
unambiguous_direct,100,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.86
