ambiguity_type,n_examples,asked_rate,avg_num_questions,mean_first_similarity_over_asked,mean_best_similarity_over_asked,resolved_proxy_first_rate,resolved_proxy_any_rate,resolved_proxy_rate,ambiguity_decision_accuracy
common_sense_knowledge,40,0.825,0.825,0.49889295051495236,0.49889295051495236,0.05,0.05,0.05,0.825
preferences,47,0.7872340425531915,0.7872340425531915,0.4645813866644292,0.4645813866644292,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.7872340425531915
safety,13,0.9230769230769231,0.9230769230769231,0.4804107832411925,0.4804107832411925,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231
unambiguous_direct,100,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.08
