feature_idx,score,mean_pos,mean_neg,entropy
83723,0.005577737465500832,3.8265833854675293,1.6520942449569702,0.9907768368721008
97500,0.0031057854648679495,1.5338480472564697,0.0075080301612615585,0.9826185703277588
93827,0.002706229919567704,1.3571382761001587,0.029980739578604698,0.9791209101676941
18718,0.0023637814447283745,2.6590354442596436,0.012432221323251724,0.4330710768699646
110302,0.0015063696773722768,0.8566259741783142,0.1360502541065216,0.9556689262390137
110865,0.0014018944930285215,1.146040678024292,0.6741687059402466,0.9810019731521606
29649,0.001217007520608604,0.6187884211540222,0.01718510501086712,0.9696704149246216
8780,0.0011435875203460455,0.9067485332489014,0.45460930466651917,0.9418434500694275
99765,0.0011233588447794318,0.6074355840682983,0.03103957138955593,0.928318977355957
48379,0.0008769785636104643,0.941543459892273,0.0010075721656903625,0.45122432708740234
12013,0.0007632962660863996,0.4353410303592682,0.035521719604730606,0.9020605683326721
76227,0.0007524270913563669,0.4424308240413666,0.014274219051003456,0.8439379930496216
116891,0.0006147787789814174,0.6666330695152283,0.45028430223464966,0.8931096792221069
18447,0.0005658004665747285,0.5768442153930664,0.36066922545433044,0.8882384896278381
8286,0.0005104572046548128,1.4224833250045776,0.0016395865241065621,0.17433251440525055
86517,0.0004957567434757948,0.3128156065940857,0.07820228487253189,0.9320099949836731
33527,0.00048437362420372665,0.6761059761047363,0.001332528772763908,0.3478236794471741
126477,0.00041238730773329735,0.3673933148384094,0.002490417566150427,0.5474061965942383
61116,0.0004095121694263071,0.22266995906829834,0.002177894813939929,0.8960161209106445
125507,0.0003608412225730717,0.6891191601753235,0.08321211487054825,0.33318841457366943
124185,0.0002983431040775031,0.31152570247650146,0.034557878971099854,0.5366352796554565
18212,0.00029653238016180694,0.3704991042613983,0.0007730419747531414,0.3885018229484558
53034,0.0002164406469091773,0.5922908782958984,0.01844531111419201,0.19736379384994507
63155,0.00020650244550779462,0.12838022410869598,0.006944902241230011,0.8138197064399719
49038,0.00018429259944241494,0.45149660110473633,0.002237670822069049,0.20071105659008026
968,0.00017076145741157234,0.10478720813989639,0.0025562795344740152,0.8043580651283264
16440,0.00016306278121192008,0.14717505872249603,0.0012973108096048236,0.541732132434845
80944,0.0001627521705813706,0.1951112300157547,0.010472157038748264,0.43898823857307434
94236,0.00016033735300879925,0.7866930961608887,0.0019899257458746433,0.10025462508201599
52042,0.00015024292224552482,0.1574438214302063,0.0011029711458832026,0.46619853377342224
60463,0.00015002305735833943,0.14395491778850555,0.0008626311901025474,0.5080386996269226
70717,0.00014313688734546304,0.16207735240459442,0.008012915030121803,0.459881067276001
43403,0.00013454329746309668,0.11149279028177261,0.0007736339466646314,0.5882753133773804
32010,0.00012911195517517626,0.15993212163448334,0.00023405661340802908,0.3914428651332855
28425,0.00010171756730414927,0.11451166868209839,0.0002351367293158546,0.4310021698474884
25580,9.80840195552446e-05,0.0627378523349762,0.0018008642364293337,0.7751867771148682
110534,8.94602999323979e-05,0.08289117366075516,0.03352072834968567,0.789661705493927
122135,8.691239781910554e-05,0.25109776854515076,0.000601791893132031,0.16900357604026794
87212,8.401500235777348e-05,0.07282823324203491,0.0038484639953821898,0.5929539203643799
72789,8.334321319125593e-05,0.14371249079704285,0.000883336178958416,0.28457099199295044
73417,7.162019028328359e-05,0.16248443722724915,0.00043353711953386664,0.21496501564979553
93739,7.093600288499147e-05,0.25515037775039673,0.0003542463236954063,0.1353909969329834
104532,7.041719072731212e-05,0.14112813770771027,0.00022214213095139712,0.24238036572933197
124503,6.48497516522184e-05,0.08114845305681229,0.03675277531147003,0.6862900853157043
90788,6.143653445178643e-05,0.1229691132903099,0.0007960442453622818,0.2459375411272049
15150,5.5882213928271085e-05,0.05381842702627182,0.004771245177835226,0.5609073042869568
63754,5.36553307028953e-05,0.04590072110295296,0.0025888325180858374,0.6027274131774902
4860,5.329003761289641e-05,0.03652846813201904,0.0005445146816782653,0.7154944539070129
31915,5.040280302637257e-05,0.04498590901494026,0.009493469260632992,0.6815961003303528
122050,4.798887675860897e-05,0.1676485538482666,0.020042335614562035,0.21757625043392181
9878,4.5714616135228425e-05,0.030897796154022217,0.0027032061479985714,0.7735350131988525
108690,4.455487214727327e-05,0.03012935258448124,0.0011954600922763348,0.7415254712104797
38131,4.4065640395274386e-05,0.041738323867321014,0.0009104179916903377,0.5250904560089111
83645,4.270666977390647e-05,0.054765257984399796,0.008694060146808624,0.48225170373916626
