ambiguity_type,n_examples,asked_rate,avg_num_questions,mean_first_similarity_over_asked,mean_best_similarity_over_asked,resolved_proxy_first_rate,resolved_proxy_any_rate,resolved_proxy_rate,ambiguity_decision_accuracy
common_sense_knowledge,40,0.125,0.125,0.43088350892066957,0.43088350892066957,0.025,0.025,0.025,0.125
preferences,47,0.1276595744680851,0.1276595744680851,0.699880431095759,0.699880431095759,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.1276595744680851
safety,13,0.23076923076923078,0.23076923076923078,0.25536389648914337,0.25536389648914337,0.0,0.0,0.0,0.23076923076923078
unambiguous_direct,100,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.96
