token_id,token,before,after,delta
5606,anyone,0.0007233148207888007,0.10653358697891235,0.1058102697134018
4423,someone,0.000156427820911631,0.10007904469966888,0.09992261976003647
279,the,0.11427288502454758,0.09401556104421616,-0.02025732398033142
1070,there,0.0651107206940651,0.09401556104421616,0.028904840350151062
420,this,0.007776367478072643,0.06070100516080856,0.052924636751413345
433,it,0.04203864932060242,0.03919152170419693,-0.002847127616405487
904,any,0.0019056807504966855,0.03249090537428856,0.03058522380888462
264,a,0.019857648760080338,0.030522383749485016,0.010664734989404678
1455,most,0.04763602465391159,0.030522383749485016,-0.017113640904426575
358,I,0.02549772895872593,0.026935908943414688,0.0014381799846887589
