token_id,token,display_token,readable_for_plot,prob_before,prob_after,delta,rank_after
499, you,you,True,0.003141936380416155,0.4228408634662628,0.41969892708584666,2
584, we,we,True,0.0025246168952435255,0.04186691716313362,0.039342300267890096,3
81096,iglia,iglia,True,3.3546581068577552e-09,3.8017489600861154e-07,3.768202379017538e-07,6888
358, I,I,True,0.02549772895872593,0.479141503572464,0.45364377461373806,1
577, u,u,True,1.089748548110947e-05,0.0003002907324116677,0.00028939324693055823,28
1289,opy,opy,True,2.4787757624267215e-08,3.7801025882799877e-06,3.7553148306557205e-06,1022
42983, perch,perch,True,2.3671261715207947e-06,3.0547914775524987e-07,-2.061647023765545e-06,7986
94707,otch,otch,True,4.133750008961101e-10,9.029946568261948e-08,8.988609068172337e-08,15908
15334, YOU,YOU,True,6.713746188324876e-06,1.3193855920690112e-05,6.480109732365236e-06,306
1431,’t,’t,True,5.017803346163419e-07,7.592539623146877e-05,7.542361589685243e-05,53
