token_id,token,before,after,delta
358,I,0.02549772895872593,0.479141503572464,0.4536437690258026
499,you,0.003141936380416155,0.4228408634662628,0.41969892382621765
584,we,0.0025246168952435255,0.04186691716313362,0.03934229910373688
1274,people,0.02549772895872593,0.005322781391441822,-0.020174946635961533
5606,anyone,0.0007233148207888007,0.003894230118021369,0.00317091541364789
433,it,0.04203864932060242,0.003436645492911339,-0.03860200196504593
279,the,0.11427288502454758,0.002218865556642413,-0.1120540201663971
420,this,0.007776367478072643,0.002084431005641818,-0.005691936239600182
832,one,0.02549772895872593,0.00195814180187881,-0.02353958785533905
856,my,0.0025246168952435255,0.00195814180187881,-0.0005664750933647156
