token_id,token,before,after,delta
264,a,0.019857648760080338,0.09576142579317093,0.07590377330780029
1070,there,0.0651107206940651,0.05808224156498909,-0.007028479129076004
499,you,0.003141936380416155,0.054563213139772415,0.05142127722501755
433,it,0.04203864932060242,0.037500713020563126,-0.004537936300039291
279,the,0.11427288502454758,0.0352286621928215,-0.07904422283172607
4423,someone,0.000156427820911631,0.033094264566898346,0.03293783590197563
358,I,0.02549772895872593,0.031089182943105698,0.005591453984379768
12966,humans,0.0013942258665338159,0.029205583035945892,0.027811357751488686
5606,anyone,0.0007233148207888007,0.02421228028833866,0.02348896488547325
12875,dogs,0.0014384833630174398,0.02274533174932003,0.021306848153471947
