ambiguity_type,n_examples,asked_rate,avg_num_questions,mean_first_similarity_over_asked,mean_best_similarity_over_asked,resolved_proxy_first_rate,resolved_proxy_any_rate,resolved_proxy_rate,ambiguity_decision_accuracy
common_sense_knowledge,40,0.125,0.125,0.49893383383750917,0.49893383383750917,0.025,0.025,0.025,0.125
preferences,47,0.1276595744680851,0.1276595744680851,0.7418210258086523,0.7418210258086523,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.1276595744680851
safety,13,0.23076923076923078,0.23076923076923078,0.40747103095054626,0.40747103095054626,0.0,0.0,0.0,0.23076923076923078
unambiguous_direct,100,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.96
