ambiguity_type,n_examples,asked_rate,avg_num_questions,mean_first_similarity_over_asked,mean_best_similarity_over_asked,resolved_proxy_first_rate,resolved_proxy_any_rate,resolved_proxy_rate,ambiguity_decision_accuracy
common_sense_knowledge,40,0.825,0.825,0.4568564526059411,0.4568564526059411,0.075,0.075,0.075,0.825
preferences,47,0.7872340425531915,0.7872340425531915,0.5861436990467278,0.5861436990467278,0.2127659574468085,0.2127659574468085,0.2127659574468085,0.7872340425531915
safety,13,0.9230769230769231,0.9230769230769231,0.3672342902670304,0.3672342902670304,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231
unambiguous_direct,100,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.08
