ambiguity_type,n_examples,asked_rate,avg_num_questions,mean_first_similarity_over_asked,mean_best_similarity_over_asked,resolved_proxy_first_rate,resolved_proxy_any_rate,resolved_proxy_rate,ambiguity_decision_accuracy
common_sense_knowledge,40,0.825,0.825,0.5584069463339719,0.5584069463339719,0.15,0.15,0.15,0.825
preferences,47,0.7872340425531915,0.7872340425531915,0.5795638907600094,0.5795638907600094,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.7872340425531915
safety,13,0.9230769230769231,0.9230769230769231,0.425762099524339,0.425762099524339,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231
unambiguous_direct,100,0.85,0.85,0.0,0.0,0.0,0.0,0.0,0.08
